student_id,student_name,gender,date_of_birth,academic_year,disability_flag,annual_family_income,parental_education,first_generation_student,urban_rural,admission_type,institution_code
S001-24,Aarav Sharma,MALE,21-11-2003,2023-2024,0,259805,none,0,URBAN,RESERVATION,INST01
S002-25,Aarav Verma,female,14-05-2001,2024-2025,0,1899189,graduate,1,URBAN,merit,INST02
S003-24,Aarav Patel,FEMALE,12-08-2002,2023-2024,1,3903935,primary,0,Rural,merit,INST02
S004-24,Aarav Iyer,Female,12-08-2002,2023-2024,0,3155303,PRIMARY,1,Rural,RESERVATION,INST02
S005-24,Aarav Reddy,female,12-08-2002,2023-2024,1,1971394,primary,1,URBAN,merit,INST02
S006-25,Aarav Singh,male,21-11-2003,2024-2025,0,3086646,Primary,1,urban,Management,INST01
S007-24,Aarav Singh,FEMALE,14-05-2001,2023-2024,0,4554433,GRADUATE,1,urban,RESERVATION,INST01
S008-24,Aarav Mehta,male,21-11-2003,2023-2024,1,3186616,SECONDARY,0,URBAN,Management,INST01
S009-24,Aarav Nair,MALE,14-05-2001,2023-2024,1,4036957,Primary,0,Rural,management,INST01
S010-24,Aarav Khan,male,14-05-2001,2023-2024,0,1934897,none,0,urban,MERIT,INST02
S011-24,Aarav Malhotra,FEMALE,14-05-2001,2023-2024,1,4573422,PRIMARY,1,rural,RESERVATION,INST01
S012-24,Aarav Bansal,MALE,12-08-2002,2023-2024,1,3427432,primary,0,Urban,RESERVATION,INST01
S013-24,Aarav Chopra,Female,12-08-2002,2023-2024,0,2032894,Primary,1,RURAL,Reservation,INST02
S014-24,Aarav Agarwal,male,12-08-2002,2023-2024,1,1642978,NONE,1,URBAN,RESERVATION,INST01
S015-24,Aarav Kulkarni,Male,12-08-2002,2023-2024,0,620097,none,1,RURAL,reservation,INST01
S016-25,Aarav Joshi,MALE,21-11-2003,2024-2025,0,3885477,none,0,Rural,MANAGEMENT,INST02
S017-25,Aarav Das,female,12-08-2002,2024-2025,0,4487076,SECONDARY,0,URBAN,RESERVATION,INST02
S018-24,Aarav Roy,Female,21-11-2003,2023-2024,1,2264457,SECONDARY,1,urban,Reservation,INST01
S019-24,Aarav Ghosh,Male,14-05-2001,2023-2024,0,681191,GRADUATE,1,Rural,merit,INST01
S020-24,Aarav Banerjee,Female,21-11-2003,2023-2024,0,3016871,Primary,1,URBAN,management,INST01
S021-25,Aarav Mukherjee,male,14-05-2001,2024-2025,0,1385448,primary,1,URBAN,RESERVATION,INST02
S022-25,Aarav Chatterjee,female,21-11-2003,2024-2025,1,632343,NONE,1,Urban,MERIT,INST02
S023-25,Aarav Saxena,male,14-05-2001,2024-2025,0,2681316,GRADUATE,0,Rural,Management,INST01
S024-25,Aarav Tripathi,Female,21-11-2003,2024-2025,0,4304051,Primary,0,Rural,MANAGEMENT,INST02
S025-25,Aarav Tiwari,Male,14-05-2001,2024-2025,0,3950603,NONE,1,Urban,Reservation,INST01
S026-24,Aarav Tiwari,Female,21-11-2003,2023-2024,1,437668,primary,1,URBAN,RESERVATION,INST01
S027-25,Aarav Pandey,FEMALE,21-11-2003,2024-2025,0,1885772,GRADUATE,1,Rural,Reservation,INST02
S028-25,Jane Doe,Female,12-08-2002,2024-2025,1,1385113,graduate,0,RURAL,management,INST01
S029-24,Aarav Jain,male,12-08-2002,2023-2024,1,1989961,graduate,1,rural,RESERVATION,INST02
S030-25,Aarav Kohli,Female,12-08-2002,2024-2025,1,99459,primary,1,Urban,Management,INST01
S031-24,Jane Doe,MALE,21-11-2003,2023-2024,0,3355281,GRADUATE,1,rural,management,INST02
S032-25,Riya Verma,male,21-11-2003,2024-2025,0,737079,None,0,urban,management,INST01
S033-25,Jane Doe,Male,21-11-2003,2024-2025,0,2199527,primary,0,Rural,Management,INST01
S034-24,Riya Iyer,Female,21-11-2003,2023-2024,0,904810,Secondary,0,RURAL,management,INST02
S035-25,Riya Reddy,Female,21-11-2003,2024-2025,1,1333382,Graduate,1,Rural,MERIT,INST02
S036-24,Riya Singh,female,14-05-2001,2023-2024,0,,GRADUATE,1,RURAL,reservation,INST01
S037-24,Riya Gupta,Female,12-08-2002,2023-2024,1,,graduate,1,urban,reservation,INST02
S038-25,Riya Mehta,FEMALE,21-11-2003,2024-2025,0,,none,0,URBAN,MANAGEMENT,INST02
S039-24,Riya Nair,,12-08-2002,2023-2024,0,,SECONDARY,0,rural,MANAGEMENT,INST01
S040-25,Riya Khan,,14-05-2001,2024-2025,1,,GRADUATE,0,rural,RESERVATION,INST01
S041-25,Riya Malhotra,,12-08-2002,2024-2025,0,,graduate,1,rural,RESERVATION,INST01
S042-24,Riya Bansal,,14-05-2001,2023-2024,0,,PRIMARY,1,RURAL,MERIT,INST02
S043-25,Riya Chopra,,12-08-2002,2024-2025,0,,GRADUATE,0,Urban,MERIT,INST02
S044-25,Riya Agarwal,Female,21-11-2003,2024-2025,1,3733886,GRADUATE,0,Rural,MERIT,INST01
S045-25,Riya Kulkarni,Male,14-05-2001,2024-2025,1,4883910,primary,1,urban,Management,INST02
S046-25,Riya Joshi,female,14-05-2001,2024-2025,0,4206295,SECONDARY,0,Rural,merit,INST02
S047-24,Riya Das,Female,14-05-2001,2023-2024,1,1623556,primary,1,URBAN,reservation,INST01
S048-25,Riya Roy,FEMALE,12-08-2002,2024-2025,0,4670772,Graduate,0,rural,RESERVATION,INST02
S049-25,Riya Ghosh,Male,14-05-2001,2024-2025,0,2094563,NONE,1,rural,MERIT,INST02
S050-25,Riya Banerjee,female,12-08-2002,2024-2025,1,1296508,Graduate,0,RURAL,MANAGEMENT,INST02
S051-25,Riya Mukherjee,male,14-05-2001,2024-2025,1,3288663,none,1,urban,reservation,INST02
S052-25,Riya Chatterjee,Female,21-11-2003,2024-2025,1,3384331,graduate,0,Urban,merit,INST01
S053-24,Riya Saxena,female,12-08-2002,2023-2024,0,3771845,secondary,0,Rural,MERIT,INST02
S054-24,Riya Tripathi,MALE,21-11-2003,2023-2024,1,4224735,GRADUATE,0,Rural,MERIT,INST02
S055-25,Riya Tiwari,female,12-08-2002,2024-2025,1,3609361,NONE,1,rural,reservation,INST01
S056-25,Riya Mishra,male,21-11-2003,2024-2025,0,2450770,Secondary,0,Urban,management,INST02
S057-24,Riya Pandey,female,14-05-2001,2023-2024,1,806093,secondary,1,rural,merit,INST01
S058-25,Riya Yadav,FEMALE,12-08-2002,2024-2025,0,4725077,Graduate,1,Rural,merit,INST02
S059-24,Riya Jain,female,14-05-2001,2023-2024,0,580302,PRIMARY,0,rural,merit,INST02
S060-25,Riya Kohli,Male,14-05-2001,2024-2025,1,4581463,graduate,1,Urban,MANAGEMENT,INST02
S061-25,Kabir Sharma,Male,21-11-2003,2024-2025,1,557930,None,0,urban,merit,INST01
S062-24,Kabir Verma,male,12-08-2002,2023-2024,0,2004534,Primary,0,URBAN,management,INST02
S063-24,Kabir Patel,male,12-08-2002,2023-2024,0,1511683,graduate,0,Rural,Merit,INST02
S064-25,Kabir Iyer,female,21-11-2003,2024-2025,1,311310,GRADUATE,0,rural,management,INST02
S065-25,Kabir Reddy,FEMALE,12-08-2002,2024-2025,0,4500633,Primary,1,rural,RESERVATION,INST02
S066-25,Kabir Singh,male,14-05-2001,2024-2025,0,2188170,None,1,urban,Reservation,INST02
S067-25,Kabir Gupta,Male,14-05-2001,2024-2025,,3597851,PRIMARY,1,urban,Reservation,INST01
S068-25,Kabir Mehta,Male,12-08-2002,2024-2025,,4755721,NONE,1,rural,merit,INST01
S069-24,Kabir Nair,male,12-08-2002,2023-2024,,819719,Secondary,0,URBAN,RESERVATION,INST01
S070-25,Kabir Khan,female,12-08-2002,2024-2025,,3767101,secondary,1,RURAL,management,INST01
S071-25,Kabir Malhotra,FEMALE,21-11-2003,2024-2025,,1821959,graduate,1,Urban,MANAGEMENT,INST01
S072-25,Kabir Bansal,male,21-11-2003,2024-2025,,207215,GRADUATE,1,urban,Reservation,INST02
S073-24,Kabir Chopra,male,21-11-2003,2023-2024,,3713403,secondary,0,urban,RESERVATION,INST02
S074-25,Kabir Agarwal,MALE,14-05-2001,2024-2025,,1288912,NONE,1,Rural,Management,INST02
S075-25,Kabir Kulkarni,female,12-08-2002,2024-2025,,1316322,secondary,1,,MANAGEMENT,INST01
S076-25,Kabir Joshi,,12-08-2002,2024-2025,,3931506,secondary,0,,management,INST01
S077-24,Kabir Das,,14-05-2001,2023-2024,,2128224,Secondary,0,,merit,INST02
S078-24,Kabir Roy,,14-05-2001,2023-2024,,2846443,Primary,1,,Merit,INST01
S079-25,Kabir Ghosh,Female,14-05-2001,2024-2025,,4315510,PRIMARY,0,,merit,INST01
S080-25,Kabir Banerjee,MALE,21-11-2003,2024-2025,,1149319,GRADUATE,1,,reservation,INST01
S081-25,Kabir Mukherjee,Male,14-05-2001,2024-2025,,3984388,secondary,1,,merit,INST02
S082-25,Kabir Chatterjee,MALE,21-11-2003,2024-2025,,4701824,secondary,1,,Management,INST02
S083-24,Kabir Saxena,male,14-05-2001,2023-2024,,3375696,Secondary,1,,management,INST01
S084-25,Kabir Tripathi,MALE,14-05-2001,2024-2025,,3813141,GRADUATE,1,urban,Management,INST01
S085-24,Kabir Tiwari,male,21-11-2003,2023-2024,,4242871,Secondary,0,RURAL,RESERVATION,INST02
S086-24,Kabir Mishra,male,21-11-2003,2023-2024,,4462906,SECONDARY,0,rural,reservation,INST02
S087-24,Kabir Pandey,female,12-08-2002,2023-2024,,421914,Graduate,0,RURAL,MERIT,INST01
S088-24,Kabir Yadav,female,21-11-2003,2023-2024,,2697409,PRIMARY,0,RURAL,management,INST02
S089-25,Kabir Jain,female,12-08-2002,2024-2025,,2894045,none,0,rural,RESERVATION,INST02
S090-25,Jane Doe,Female,14-05-2001,2024-2025,,1447917,GRADUATE,0,urban,Reservation,INST01
S091-24,Ananya Sharma,MALE,21-11-2003,2023-2024,,3725660,secondary,0,rural,merit,INST02
S092-25,Ananya Verma,MALE,21-11-2003,2024-2025,,2387819,graduate,1,RURAL,RESERVATION,INST02
S093-24,Ananya Patel,Male,14-05-2001,2023-2024,,1078757,Secondary,1,Rural,Reservation,INST01
S094-24,Ananya Iyer,male,21-11-2003,2023-2024,,1735945,graduate,0,Urban,reservation,INST02
S095-24,Jane Doe,Male,21-11-2003,2023-2024,,1101317,primary,0,urban,Merit,INST02
S096-25,Jane Doe,FEMALE,14-05-2001,2024-2025,,711524,primary,0,rural,MERIT,INST02
S097-24,Ananya Gupta,Male,12-08-2002,2023-2024,,4849434,GRADUATE,1,Rural,merit,INST01
S098-25,Ananya Mehta,Female,12-08-2002,2024-2025,,1255180,primary,0,RURAL,MERIT,INST01
S099-24,Ananya Nair,female,14-05-2001,2023-2024,,862115,Secondary,0,urban,management,INST01
